Core, 0
Cumulative Cycles, 21272768            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.94017
Periodic Cycles, 10599187            
Periodic Instructions, 9999999             
Periodic IPC, 0.94347

ICACHE_MISS_count,             0
ICACHE_MISS_pct,        0.000
ICACHE_MISS_total_count,           355
ICACHE_MISS_total_pct,        0.011

ICACHE_HIT_count,       1632039
ICACHE_HIT_pct,      100.000
ICACHE_HIT_total_count,       3263979
ICACHE_HIT_total_pct,       99.989
ICACHE_HIT_sum_count,       1632039
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,       3264334
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         1.00
ICACHE_HIT_total_mean,         1.00
ICACHE_HIT_total_stddev,         1.00

ICACHE_MISS_ONPATH_count,             0
ICACHE_MISS_ONPATH_pct,         -nan
ICACHE_MISS_ONPATH_total_count,           120
ICACHE_MISS_ONPATH_total_pct,       33.803

ICACHE_MISS_OFFPATH_count,             0
ICACHE_MISS_OFFPATH_pct,         -nan
ICACHE_MISS_OFFPATH_total_count,           235
ICACHE_MISS_OFFPATH_total_pct,       66.197
ICACHE_MISS_OFFPATH_sum_count,             0
ICACHE_MISS_OFFPATH_sum_pct,         -nan
ICACHE_MISS_OFFPATH_sum_total_count,           355
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         -nan
ICACHE_MISS_OFFPATH_stddev,         -nan
ICACHE_MISS_OFFPATH_total_mean,         0.66
ICACHE_MISS_OFFPATH_total_stddev,         0.61

ICACHE_MISS_NOT_PREFETCHED_count,             0
ICACHE_MISS_NOT_PREFETCHED_pct,         -nan
ICACHE_MISS_NOT_PREFETCHED_total_count,            10
ICACHE_MISS_NOT_PREFETCHED_total_pct,        2.865

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

