Core, 0
Cumulative Cycles, 27321978            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.73201
Periodic Cycles, 10250536            
Periodic Instructions, 10000000            
Periodic IPC, 0.97556

BTB_ON_PATH_MISS_count,        115334
BTB_ON_PATH_MISS_pct,        2.230
BTB_ON_PATH_MISS_total_count,        238919
BTB_ON_PATH_MISS_total_pct,        2.391

BTB_ON_PATH_HIT_count,       5057641
BTB_ON_PATH_HIT_pct,       97.770
BTB_ON_PATH_HIT_total_count,       9754125
BTB_ON_PATH_HIT_total_pct,       97.609
BTB_ON_PATH_HIT_sum_count,       5172975
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       9993044
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.98
BTB_ON_PATH_HIT_stddev,         0.97
BTB_ON_PATH_HIT_total_mean,         0.98
BTB_ON_PATH_HIT_total_stddev,         0.96

BTB_OFF_PATH_MISS_count,       1668013
BTB_OFF_PATH_MISS_pct,       20.502
BTB_OFF_PATH_MISS_total_count,      16002312
BTB_OFF_PATH_MISS_total_pct,       37.482

BTB_OFF_PATH_HIT_count,       6467913
BTB_OFF_PATH_HIT_pct,       79.498
BTB_OFF_PATH_HIT_total_count,      26690611
BTB_OFF_PATH_HIT_total_pct,       62.518
BTB_OFF_PATH_HIT_sum_count,       8135926
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,      42692923
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.79
BTB_OFF_PATH_HIT_stddev,         0.73
BTB_OFF_PATH_HIT_total_mean,         0.63
BTB_OFF_PATH_HIT_total_stddev,         0.58

BTB_ON_PATH_WRITE_count,         62964
BTB_ON_PATH_WRITE_pct,       99.908
BTB_ON_PATH_WRITE_total_count,        132481
BTB_ON_PATH_WRITE_total_pct,       99.851

BTB_OFF_PATH_WRITE_count,            58
BTB_OFF_PATH_WRITE_pct,        0.092
BTB_OFF_PATH_WRITE_total_count,           198
BTB_OFF_PATH_WRITE_total_pct,        0.149
BTB_OFF_PATH_WRITE_sum_count,         63022
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,        132679
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.03
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.04

BP_ON_PATH_CORRECT_count,       5115238
BP_ON_PATH_CORRECT_pct,       98.884
BP_ON_PATH_CORRECT_total_count,       8942459
BP_ON_PATH_CORRECT_total_pct,       89.487

BP_ON_PATH_MISPREDICT_count,         57661
BP_ON_PATH_MISPREDICT_pct,        1.115
BP_ON_PATH_MISPREDICT_total_count,       1050441
BP_ON_PATH_MISPREDICT_total_pct,       10.512

BP_ON_PATH_MISFETCH_count,            76
BP_ON_PATH_MISFETCH_pct,        0.001
BP_ON_PATH_MISFETCH_total_count,           144
BP_ON_PATH_MISFETCH_total_pct,        0.001
BP_ON_PATH_MISFETCH_sum_count,       5172975
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       9993044
