Core, 0
Cumulative Cycles, 23944549            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.83526
Periodic Cycles, 11670967            
Periodic Instructions, 10000000            
Periodic IPC, 0.85683

BTB_ON_PATH_MISS_count,        177629
BTB_ON_PATH_MISS_pct,       13.101
BTB_ON_PATH_MISS_total_count,        364913
BTB_ON_PATH_MISS_total_pct,       13.402

BTB_ON_PATH_HIT_count,       1178194
BTB_ON_PATH_HIT_pct,       86.899
BTB_ON_PATH_HIT_total_count,       2358000
BTB_ON_PATH_HIT_total_pct,       86.598
BTB_ON_PATH_HIT_sum_count,       1355823
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       2722913
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.87
BTB_ON_PATH_HIT_stddev,         0.82
BTB_ON_PATH_HIT_total_mean,         0.87
BTB_ON_PATH_HIT_total_stddev,         0.82

BTB_OFF_PATH_MISS_count,       1338857
BTB_OFF_PATH_MISS_pct,       17.395
BTB_OFF_PATH_MISS_total_count,       2970967
BTB_OFF_PATH_MISS_total_pct,       18.360

BTB_OFF_PATH_HIT_count,       6357753
BTB_OFF_PATH_HIT_pct,       82.605
BTB_OFF_PATH_HIT_total_count,      13211047
BTB_OFF_PATH_HIT_total_pct,       81.640
BTB_OFF_PATH_HIT_sum_count,       7696610
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,      16182014
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.83
BTB_OFF_PATH_HIT_stddev,         0.77
BTB_OFF_PATH_HIT_total_mean,         0.82
BTB_OFF_PATH_HIT_total_stddev,         0.76

BTB_ON_PATH_WRITE_count,         32692
BTB_ON_PATH_WRITE_pct,      100.000
BTB_ON_PATH_WRITE_total_count,         65512
BTB_ON_PATH_WRITE_total_pct,       99.983

BTB_OFF_PATH_WRITE_count,             0
BTB_OFF_PATH_WRITE_pct,        0.000
BTB_OFF_PATH_WRITE_total_count,            11
BTB_OFF_PATH_WRITE_total_pct,        0.017
BTB_OFF_PATH_WRITE_sum_count,         32692
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         65523
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.00
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.01

BP_ON_PATH_CORRECT_count,       1236575
BP_ON_PATH_CORRECT_pct,       91.205
BP_ON_PATH_CORRECT_total_count,       2477060
BP_ON_PATH_CORRECT_total_pct,       90.971

BP_ON_PATH_MISPREDICT_count,        119233
BP_ON_PATH_MISPREDICT_pct,        8.794
BP_ON_PATH_MISPREDICT_total_count,        245825
BP_ON_PATH_MISPREDICT_total_pct,        9.028

BP_ON_PATH_MISFETCH_count,            15
BP_ON_PATH_MISFETCH_pct,        0.001
BP_ON_PATH_MISFETCH_total_count,            28
BP_ON_PATH_MISFETCH_total_pct,        0.001
BP_ON_PATH_MISFETCH_sum_count,       1355823
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       2722913
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.09
BP_ON_PATH_MISFETCH_stddev,         0.27
BP_ON_PATH_MISFETCH_total_mean,         0.09
BP_ON_PATH_MISFETCH_total_stddev,         0.27

BP_OFF_PATH_CORRECT_count,       5609521
BP_OFF_PATH_CORRECT_pct,       72.883
BP_OFF_PATH_CORRECT_total_count,      11679441
BP_OFF_PATH_CORRECT_total_pct,       72.175

BP_OFF_PATH_MISPREDICT_count,       1965832
BP_OFF_PATH_MISPREDICT_pct,       25.542
BP_OFF_PATH_MISPREDICT_total_count,       4254933
BP_OFF_PATH_MISPREDICT_total_pct,       26.294

BP_OFF_PATH_MISFETCH_count,        121257
BP_OFF_PATH_MISFETCH_pct,        1.575
BP_OFF_PATH_MISFETCH_total_count,        247640
BP_OFF_PATH_MISFETCH_total_pct,        1.530
BP_OFF_PATH_MISFETCH_sum_count,       7696610
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,      16182014
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.29
BP_OFF_PATH_MISFETCH_stddev,         0.42
BP_OFF_PATH_MISFETCH_total_mean,         0.29
BP_OFF_PATH_MISFETCH_total_stddev,         0.42

LATE_BP_ON_PATH_CORRECT_count,       1355823
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       2722913
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1355823
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       2722913
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
LATE_BP_ON_PATH_MISFETCH_total_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_total_stddev,         0.00

LATE_BP_OFF_PATH_CORRECT_count,       7696610
LATE_BP_OFF_PATH_CORRECT_pct,      100.000
LATE_BP_OFF_PATH_CORRECT_total_count,      16182014
LATE_BP_OFF_PATH_CORRECT_total_pct,      100.000

LATE_BP_OFF_PATH_MISPREDICT_count,             0
LATE_BP_OFF_PATH_MISPREDICT_pct,        0.000
LATE_BP_OFF_PATH_MISPREDICT_total_count,             0
LATE_BP_OFF_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_OFF_PATH_MISFETCH_count,             0
LATE_BP_OFF_PATH_MISFETCH_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_total_count,             0
LATE_BP_OFF_PATH_MISFETCH_total_pct,        0.000
LATE_BP_OFF_PATH_MISFETCH_sum_count,       7696610
LATE_BP_OFF_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_sum_total_count,      16182014
LATE_BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_OFF_PATH_MISFETCH_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_stddev,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_mean,         0.00
LATE_BP_OFF_PATH_MISFETCH_total_stddev,         0.00

BP_ON_PATH_CONF_PVN_count,             0
BP_ON_PATH_CONF_PVN_pct,         -nan
BP_ON_PATH_CONF_PVN_total_count,             0
BP_ON_PATH_CONF_PVN_total_pct,         -nan

BP_ON_PATH_CONF_PVN_BOT_count,             0
BP_ON_PATH_CONF_PVN_BOT_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVN_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVN_BOT_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVN_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_PVP_count,             0
BP_ON_PATH_CONF_PVP_pct,         -nan
BP_ON_PATH_CONF_PVP_total_count,             0
BP_ON_PATH_CONF_PVP_total_pct,         -nan

BP_ON_PATH_CONF_PVP_BOT_count,             0
BP_ON_PATH_CONF_PVP_BOT_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_sum_total_count,             0
BP_ON_PATH_CONF_PVP_BOT_sum_total_pct,         -nan
BP_ON_PATH_CONF_PVP_BOT_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_stddev,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_mean,         -nan
BP_ON_PATH_CONF_PVP_BOT_total_stddev,         -nan

BP_ON_PATH_CONF_SPEC_count,             0
BP_ON_PATH_CONF_SPEC_pct,         -nan
BP_ON_PATH_CONF_SPEC_total_count,             0
BP_ON_PATH_CONF_SPEC_total_pct,         -nan

BP_ON_PATH_CONF_SPEC_BOT_count,             0
BP_ON_PATH_CONF_SPEC_BOT_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_total_count,             0
BP_ON_PATH_CONF_SPEC_BOT_total_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_count,             0
BP_ON_PATH_CONF_SPEC_BOT_sum_pct,         -nan
BP_ON_PATH_CONF_SPEC_BOT_sum_total_count,             0
