Core, 0
Cumulative Cycles, 52522050            
Cumulative Instructions, 20000000            
Cumulative IPC, 0.38079
Periodic Cycles, 23826529            
Periodic Instructions, 10000000            
Periodic IPC, 0.41970

BTB_ON_PATH_MISS_count,        867017
BTB_ON_PATH_MISS_pct,       27.773
BTB_ON_PATH_MISS_total_count,       1851531
BTB_ON_PATH_MISS_total_pct,       29.765

BTB_ON_PATH_HIT_count,       2254773
BTB_ON_PATH_HIT_pct,       72.227
BTB_ON_PATH_HIT_total_count,       4369056
BTB_ON_PATH_HIT_total_pct,       70.235
BTB_ON_PATH_HIT_sum_count,       3121790
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       6220587
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.72
BTB_ON_PATH_HIT_stddev,         0.66
BTB_ON_PATH_HIT_total_mean,         0.70
BTB_ON_PATH_HIT_total_stddev,         0.64

BTB_OFF_PATH_MISS_count,      15800245
BTB_OFF_PATH_MISS_pct,       41.346
BTB_OFF_PATH_MISS_total_count,      38300120
BTB_OFF_PATH_MISS_total_pct,       46.322

BTB_OFF_PATH_HIT_count,      22414708
BTB_OFF_PATH_HIT_pct,       58.654
BTB_OFF_PATH_HIT_total_count,      44382170
BTB_OFF_PATH_HIT_total_pct,       53.678
BTB_OFF_PATH_HIT_sum_count,      38214953
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,      82682290
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.59
BTB_OFF_PATH_HIT_stddev,         0.55
BTB_OFF_PATH_HIT_total_mean,         0.54
BTB_OFF_PATH_HIT_total_stddev,         0.52

BTB_ON_PATH_WRITE_count,          1986
BTB_ON_PATH_WRITE_pct,       99.052
BTB_ON_PATH_WRITE_total_count,          5687
BTB_ON_PATH_WRITE_total_pct,       98.493

BTB_OFF_PATH_WRITE_count,            19
BTB_OFF_PATH_WRITE_pct,        0.948
BTB_OFF_PATH_WRITE_total_count,            87
BTB_OFF_PATH_WRITE_total_pct,        1.507
BTB_OFF_PATH_WRITE_sum_count,          2005
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,          5774
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.01
BTB_OFF_PATH_WRITE_stddev,         0.10
BTB_OFF_PATH_WRITE_total_mean,         0.02
BTB_OFF_PATH_WRITE_total_stddev,         0.12

BP_ON_PATH_CORRECT_count,       2578777
BP_ON_PATH_CORRECT_pct,       82.606
BP_ON_PATH_CORRECT_total_count,       5227340
BP_ON_PATH_CORRECT_total_pct,       84.033

BP_ON_PATH_MISPREDICT_count,        542895
BP_ON_PATH_MISPREDICT_pct,       17.391
BP_ON_PATH_MISPREDICT_total_count,        992986
BP_ON_PATH_MISPREDICT_total_pct,       15.963

BP_ON_PATH_MISFETCH_count,           118
BP_ON_PATH_MISFETCH_pct,        0.004
BP_ON_PATH_MISFETCH_total_count,           261
BP_ON_PATH_MISFETCH_total_pct,        0.004
BP_ON_PATH_MISFETCH_sum_count,       3121790
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       6220587
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.17
BP_ON_PATH_MISFETCH_stddev,         0.34
BP_ON_PATH_MISFETCH_total_mean,         0.16
BP_ON_PATH_MISFETCH_total_stddev,         0.34

BP_OFF_PATH_CORRECT_count,      26960018
BP_OFF_PATH_CORRECT_pct,       70.548
BP_OFF_PATH_CORRECT_total_count,      63468128
BP_OFF_PATH_CORRECT_total_pct,       76.761

BP_OFF_PATH_MISPREDICT_count,      11203452
BP_OFF_PATH_MISPREDICT_pct,       29.317
BP_OFF_PATH_MISPREDICT_total_count,      19114346
BP_OFF_PATH_MISPREDICT_total_pct,       23.118

BP_OFF_PATH_MISFETCH_count,         51483
BP_OFF_PATH_MISFETCH_pct,        0.135
BP_OFF_PATH_MISFETCH_total_count,         99816
BP_OFF_PATH_MISFETCH_total_pct,        0.121
BP_OFF_PATH_MISFETCH_sum_count,      38214953
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,      82682290
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.30
