Core, 0
Cumulative Cycles, 7412217             
Cumulative Instructions, 20000000            
Cumulative IPC, 2.69825
Periodic Cycles, 3726519             
Periodic Instructions, 9999999             
Periodic IPC, 2.68347

BTB_ON_PATH_MISS_count,         26793
BTB_ON_PATH_MISS_pct,        5.090
BTB_ON_PATH_MISS_total_count,         55457
BTB_ON_PATH_MISS_total_pct,        5.811

BTB_ON_PATH_HIT_count,        499576
BTB_ON_PATH_HIT_pct,       94.910
BTB_ON_PATH_HIT_total_count,        898950
BTB_ON_PATH_HIT_total_pct,       94.189
BTB_ON_PATH_HIT_sum_count,        526369
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,        954407
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.95
BTB_ON_PATH_HIT_stddev,         0.93
BTB_ON_PATH_HIT_total_mean,         0.94
BTB_ON_PATH_HIT_total_stddev,         0.92

BTB_OFF_PATH_MISS_count,        112296
BTB_OFF_PATH_MISS_pct,       13.059
BTB_OFF_PATH_MISS_total_count,        189432
BTB_OFF_PATH_MISS_total_pct,       11.779

BTB_OFF_PATH_HIT_count,        747649
BTB_OFF_PATH_HIT_pct,       86.941
BTB_OFF_PATH_HIT_total_count,       1418792
BTB_OFF_PATH_HIT_total_pct,       88.221
BTB_OFF_PATH_HIT_sum_count,        859945
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,       1608224
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.87
BTB_OFF_PATH_HIT_stddev,         0.82
BTB_OFF_PATH_HIT_total_mean,         0.88
BTB_OFF_PATH_HIT_total_stddev,         0.84

BTB_ON_PATH_WRITE_count,         12644
BTB_ON_PATH_WRITE_pct,       99.858
BTB_ON_PATH_WRITE_total_count,         29688
BTB_ON_PATH_WRITE_total_pct,       99.778

BTB_OFF_PATH_WRITE_count,            18
BTB_OFF_PATH_WRITE_pct,        0.142
BTB_OFF_PATH_WRITE_total_count,            66
BTB_OFF_PATH_WRITE_total_pct,        0.222
BTB_OFF_PATH_WRITE_sum_count,         12662
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,         29754
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.04
BTB_OFF_PATH_WRITE_total_mean,         0.00
BTB_OFF_PATH_WRITE_total_stddev,         0.05

BP_ON_PATH_CORRECT_count,        503240
BP_ON_PATH_CORRECT_pct,       95.606
BP_ON_PATH_CORRECT_total_count,        908846
BP_ON_PATH_CORRECT_total_pct,       95.226

BP_ON_PATH_MISPREDICT_count,         22522
BP_ON_PATH_MISPREDICT_pct,        4.279
