Core, 0
Cumulative Cycles, 14331885            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.39549
Periodic Cycles, 7447398             
Periodic Instructions, 9999998             
Periodic IPC, 1.34275

ICACHE_MISS_count,             0
ICACHE_MISS_pct,        0.000
ICACHE_MISS_total_count,            22
ICACHE_MISS_total_pct,        0.695

ICACHE_HIT_count,          1579
ICACHE_HIT_pct,      100.000
ICACHE_HIT_total_count,          3144
ICACHE_HIT_total_pct,       99.305
ICACHE_HIT_sum_count,          1579
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,          3166
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         1.00
ICACHE_HIT_total_mean,         0.99
ICACHE_HIT_total_stddev,         0.99

ICACHE_MISS_ONPATH_count,             0
ICACHE_MISS_ONPATH_pct,         -nan
ICACHE_MISS_ONPATH_total_count,             7
ICACHE_MISS_ONPATH_total_pct,       31.818

ICACHE_MISS_OFFPATH_count,             0
ICACHE_MISS_OFFPATH_pct,         -nan
ICACHE_MISS_OFFPATH_total_count,            15
ICACHE_MISS_OFFPATH_total_pct,       68.182
ICACHE_MISS_OFFPATH_sum_count,             0
ICACHE_MISS_OFFPATH_sum_pct,         -nan
ICACHE_MISS_OFFPATH_sum_total_count,            22
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         -nan
ICACHE_MISS_OFFPATH_stddev,         -nan
ICACHE_MISS_OFFPATH_total_mean,         0.68
ICACHE_MISS_OFFPATH_total_stddev,         0.64

ICACHE_MISS_NOT_PREFETCHED_count,             0
ICACHE_MISS_NOT_PREFETCHED_pct,         -nan
ICACHE_MISS_NOT_PREFETCHED_total_count,             0
ICACHE_MISS_NOT_PREFETCHED_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_pct,        0.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_count,            15
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_pct,       68.182

ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_count,             7
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_pct,       31.818
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_count,            22
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_mean,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_stddev,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_mean,         3.32
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_stddev,         1.97

ICACHE_HIT_ONPATH_count,          1021
ICACHE_HIT_ONPATH_pct,       64.661
ICACHE_HIT_ONPATH_total_count,          1935
ICACHE_HIT_ONPATH_total_pct,       61.546

ICACHE_HIT_OFFPATH_count,           558
ICACHE_HIT_OFFPATH_pct,       35.339
ICACHE_HIT_OFFPATH_total_count,          1209
ICACHE_HIT_OFFPATH_total_pct,       38.454
ICACHE_HIT_OFFPATH_sum_count,          1579
