Core, 0
Cumulative Cycles, 14309139            
Cumulative Instructions, 20000000            
Cumulative IPC, 1.39771
Periodic Cycles, 7424198             
Periodic Instructions, 10000000            
Periodic IPC, 1.34695

ICACHE_MISS_count,             0
ICACHE_MISS_pct,        0.000
ICACHE_MISS_total_count,            16
ICACHE_MISS_total_pct,        3.259

ICACHE_HIT_count,           105
ICACHE_HIT_pct,      100.000
ICACHE_HIT_total_count,           475
ICACHE_HIT_total_pct,       96.741
ICACHE_HIT_sum_count,           105
ICACHE_HIT_sum_pct,      100.000
ICACHE_HIT_sum_total_count,           491
ICACHE_HIT_sum_total_pct,      100.000
ICACHE_HIT_mean,         1.00
ICACHE_HIT_stddev,         1.00
ICACHE_HIT_total_mean,         0.97
ICACHE_HIT_total_stddev,         0.95

ICACHE_MISS_ONPATH_count,             0
ICACHE_MISS_ONPATH_pct,         -nan
ICACHE_MISS_ONPATH_total_count,             6
ICACHE_MISS_ONPATH_total_pct,       37.500

ICACHE_MISS_OFFPATH_count,             0
ICACHE_MISS_OFFPATH_pct,         -nan
ICACHE_MISS_OFFPATH_total_count,            10
ICACHE_MISS_OFFPATH_total_pct,       62.500
ICACHE_MISS_OFFPATH_sum_count,             0
ICACHE_MISS_OFFPATH_sum_pct,         -nan
ICACHE_MISS_OFFPATH_sum_total_count,            16
ICACHE_MISS_OFFPATH_sum_total_pct,      100.000
ICACHE_MISS_OFFPATH_mean,         -nan
ICACHE_MISS_OFFPATH_stddev,         -nan
ICACHE_MISS_OFFPATH_total_mean,         0.62
ICACHE_MISS_OFFPATH_total_stddev,         0.60

ICACHE_MISS_NOT_PREFETCHED_count,             0
ICACHE_MISS_NOT_PREFETCHED_pct,         -nan
ICACHE_MISS_NOT_PREFETCHED_total_count,             2
ICACHE_MISS_NOT_PREFETCHED_total_pct,       13.333

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_IFETCH_total_pct,        0.000

ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_pct,         -nan
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_count,             0
ICACHE_MISS_PREFETCHED_AND_EVICTED_BY_FDIP_total_pct,        0.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_count,             9
ICACHE_MISS_MSHR_HIT_PREFETCHED_OFFPATH_total_pct,       60.000

ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_count,             4
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_pct,       26.667
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_count,             0
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_pct,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_count,            15
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_sum_total_pct,      100.000
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_mean,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_stddev,         -nan
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_mean,         2.87
ICACHE_MISS_MSHR_HIT_PREFETCHED_ONPATH_total_stddev,         1.65

ICACHE_HIT_ONPATH_count,           105
ICACHE_HIT_ONPATH_pct,      100.000
ICACHE_HIT_ONPATH_total_count,           350
ICACHE_HIT_ONPATH_total_pct,       73.684

ICACHE_HIT_OFFPATH_count,             0
ICACHE_HIT_OFFPATH_pct,        0.000
ICACHE_HIT_OFFPATH_total_count,           125
