Core, 0
Cumulative Cycles, 40272489            
Cumulative Instructions, 20000002            
Cumulative IPC, 0.49662
Periodic Cycles, 19957737            
Periodic Instructions, 10000002            
Periodic IPC, 0.50106

BTB_ON_PATH_MISS_count,         35148
BTB_ON_PATH_MISS_pct,        1.758
BTB_ON_PATH_MISS_total_count,         83482
BTB_ON_PATH_MISS_total_pct,        2.072

BTB_ON_PATH_HIT_count,       1964360
BTB_ON_PATH_HIT_pct,       98.242
BTB_ON_PATH_HIT_total_count,       3946366
BTB_ON_PATH_HIT_total_pct,       97.928
BTB_ON_PATH_HIT_sum_count,       1999508
BTB_ON_PATH_HIT_sum_pct,      100.000
BTB_ON_PATH_HIT_sum_total_count,       4029848
BTB_ON_PATH_HIT_sum_total_pct,      100.000
BTB_ON_PATH_HIT_mean,         0.98
BTB_ON_PATH_HIT_stddev,         0.97
BTB_ON_PATH_HIT_total_mean,         0.98
BTB_ON_PATH_HIT_total_stddev,         0.97

BTB_OFF_PATH_MISS_count,       7397633
BTB_OFF_PATH_MISS_pct,       25.973
BTB_OFF_PATH_MISS_total_count,      16076916
BTB_OFF_PATH_MISS_total_pct,       27.284

BTB_OFF_PATH_HIT_count,      21084082
BTB_OFF_PATH_HIT_pct,       74.027
BTB_OFF_PATH_HIT_total_count,      42846604
BTB_OFF_PATH_HIT_total_pct,       72.716
BTB_OFF_PATH_HIT_sum_count,      28481715
BTB_OFF_PATH_HIT_sum_pct,      100.000
BTB_OFF_PATH_HIT_sum_total_count,      58923520
BTB_OFF_PATH_HIT_sum_total_pct,      100.000
BTB_OFF_PATH_HIT_mean,         0.74
BTB_OFF_PATH_HIT_stddev,         0.67
BTB_OFF_PATH_HIT_total_mean,         0.73
BTB_OFF_PATH_HIT_total_stddev,         0.66

BTB_ON_PATH_WRITE_count,            88
BTB_ON_PATH_WRITE_pct,      100.000
BTB_ON_PATH_WRITE_total_count,           601
BTB_ON_PATH_WRITE_total_pct,       98.203

BTB_OFF_PATH_WRITE_count,             0
BTB_OFF_PATH_WRITE_pct,        0.000
BTB_OFF_PATH_WRITE_total_count,            11
BTB_OFF_PATH_WRITE_total_pct,        1.797
BTB_OFF_PATH_WRITE_sum_count,            88
BTB_OFF_PATH_WRITE_sum_pct,      100.000
BTB_OFF_PATH_WRITE_sum_total_count,           612
BTB_OFF_PATH_WRITE_sum_total_pct,      100.000
BTB_OFF_PATH_WRITE_mean,         0.00
BTB_OFF_PATH_WRITE_stddev,         0.00
BTB_OFF_PATH_WRITE_total_mean,         0.02
BTB_OFF_PATH_WRITE_total_stddev,         0.13

BP_ON_PATH_CORRECT_count,       1230459
BP_ON_PATH_CORRECT_pct,       61.538
BP_ON_PATH_CORRECT_total_count,       2483310
BP_ON_PATH_CORRECT_total_pct,       61.623

BP_ON_PATH_MISPREDICT_count,        768939
BP_ON_PATH_MISPREDICT_pct,       38.456
BP_ON_PATH_MISPREDICT_total_count,       1546141
BP_ON_PATH_MISPREDICT_total_pct,       38.367

BP_ON_PATH_MISFETCH_count,           110
BP_ON_PATH_MISFETCH_pct,        0.006
BP_ON_PATH_MISFETCH_total_count,           397
BP_ON_PATH_MISFETCH_total_pct,        0.010
BP_ON_PATH_MISFETCH_sum_count,       1999508
BP_ON_PATH_MISFETCH_sum_pct,      100.000
BP_ON_PATH_MISFETCH_sum_total_count,       4029848
BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
BP_ON_PATH_MISFETCH_mean,         0.38
BP_ON_PATH_MISFETCH_stddev,         0.38
BP_ON_PATH_MISFETCH_total_mean,         0.38
BP_ON_PATH_MISFETCH_total_stddev,         0.38

BP_OFF_PATH_CORRECT_count,      20816534
BP_OFF_PATH_CORRECT_pct,       73.087
BP_OFF_PATH_CORRECT_total_count,      44271294
BP_OFF_PATH_CORRECT_total_pct,       75.133

BP_OFF_PATH_MISPREDICT_count,       6576104
BP_OFF_PATH_MISPREDICT_pct,       23.089
BP_OFF_PATH_MISPREDICT_total_count,      12803552
BP_OFF_PATH_MISPREDICT_total_pct,       21.729

BP_OFF_PATH_MISFETCH_count,       1089077
BP_OFF_PATH_MISFETCH_pct,        3.824
BP_OFF_PATH_MISFETCH_total_count,       1848674
BP_OFF_PATH_MISFETCH_total_pct,        3.137
BP_OFF_PATH_MISFETCH_sum_count,      28481715
BP_OFF_PATH_MISFETCH_sum_pct,      100.000
BP_OFF_PATH_MISFETCH_sum_total_count,      58923520
BP_OFF_PATH_MISFETCH_sum_total_pct,      100.000
BP_OFF_PATH_MISFETCH_mean,         0.31
BP_OFF_PATH_MISFETCH_stddev,         0.47
BP_OFF_PATH_MISFETCH_total_mean,         0.28
BP_OFF_PATH_MISFETCH_total_stddev,         0.46

LATE_BP_ON_PATH_CORRECT_count,       1999508
LATE_BP_ON_PATH_CORRECT_pct,      100.000
LATE_BP_ON_PATH_CORRECT_total_count,       4029848
LATE_BP_ON_PATH_CORRECT_total_pct,      100.000

LATE_BP_ON_PATH_MISPREDICT_count,             0
LATE_BP_ON_PATH_MISPREDICT_pct,        0.000
LATE_BP_ON_PATH_MISPREDICT_total_count,             0
LATE_BP_ON_PATH_MISPREDICT_total_pct,        0.000

LATE_BP_ON_PATH_MISFETCH_count,             0
LATE_BP_ON_PATH_MISFETCH_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_total_count,             0
LATE_BP_ON_PATH_MISFETCH_total_pct,        0.000
LATE_BP_ON_PATH_MISFETCH_sum_count,       1999508
LATE_BP_ON_PATH_MISFETCH_sum_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_sum_total_count,       4029848
LATE_BP_ON_PATH_MISFETCH_sum_total_pct,      100.000
LATE_BP_ON_PATH_MISFETCH_mean,         0.00
LATE_BP_ON_PATH_MISFETCH_stddev,         0.00
